tag,timesteps,episodic_return
baseline,55522,500.0
baseline,56022,500.0
baseline,56522,500.0
baseline,57022,500.0
baseline,57088,66.0
baseline,57588,500.0
baseline,58088,500.0
baseline,58588,500.0
baseline,59088,500.0
baseline,59104,16.0
baseline,59119,15.0
baseline,59135,16.0
baseline,59149,14.0
baseline,59162,13.0
baseline,59177,15.0
baseline,59192,15.0
baseline,59207,15.0
baseline,59224,17.0
baseline,59239,15.0
baseline,59252,13.0
baseline,59266,14.0
baseline,59280,14.0
baseline,59295,15.0
baseline,59312,17.0
baseline,59329,17.0
baseline,59345,16.0
baseline,59361,16.0
baseline,59376,15.0
baseline,59390,14.0
baseline,59407,17.0
baseline,59424,17.0
baseline,59439,15.0
baseline,59455,16.0
baseline,59470,15.0
baseline,59485,15.0
baseline,59501,16.0
baseline,59514,13.0
baseline,59527,13.0
baseline,59542,15.0
baseline,59559,17.0
baseline,59572,13.0
baseline,59588,16.0
baseline,59600,12.0
baseline,59613,13.0
baseline,59630,17.0
baseline,59647,17.0
baseline,59662,15.0
baseline,59679,17.0
baseline,59693,14.0
baseline,59706,13.0
baseline,59720,14.0
baseline,59827,107.0
baseline,59845,18.0
baseline,59949,104.0
baseline,60050,101.0
baseline,60148,98.0
baseline,60246,98.0
baseline,60345,99.0
baseline,60446,101.0
baseline,60539,93.0
baseline,60639,100.0
baseline,60739,100.0
baseline,60757,18.0
baseline,60849,92.0
baseline,60939,90.0
baseline,61030,91.0
baseline,61121,91.0
baseline,61209,88.0
baseline,61303,94.0
baseline,61398,95.0
baseline,61493,95.0
baseline,61582,89.0
baseline,61673,91.0
baseline,61736,63.0
baseline,61823,87.0
baseline,61834,11.0
baseline,61929,95.0
baseline,62018,89.0
baseline,62106,88.0
baseline,62118,12.0
baseline,62213,95.0
baseline,62283,70.0
baseline,62349,66.0
baseline,62416,67.0
baseline,62432,16.0
baseline,62500,68.0
baseline,62575,75.0
baseline,62647,72.0
baseline,62719,72.0
baseline,62796,77.0
baseline,62864,68.0
baseline,62934,70.0
baseline,63002,68.0
baseline,63013,11.0
baseline,63084,71.0
baseline,63153,69.0
baseline,63221,68.0
baseline,63291,70.0
baseline,63367,76.0
baseline,63440,73.0
baseline,63515,75.0
baseline,63589,74.0
baseline,63668,79.0
baseline,63745,77.0
baseline,63824,79.0
baseline,63915,91.0
baseline,63996,81.0
baseline,64092,96.0
baseline,64184,92.0
baseline,64275,91.0
baseline,64372,97.0
baseline,64466,94.0
baseline,64537,71.0
baseline,64629,92.0
baseline,64727,98.0
baseline,64819,92.0
baseline,64914,95.0
baseline,65012,98.0
baseline,65110,98.0
baseline,65209,99.0
baseline,65306,97.0
baseline,65410,104.0
baseline,65503,93.0
baseline,65601,98.0
baseline,65702,101.0
baseline,65800,98.0
