environment,timesteps,mean_metric,std_metric
Standard,150000.0,105.6,18.874321179846444
Standard,152000.0,139.8,78.70044472555412
Standard,154000.0,118.2,27.592752671670873
Standard,156000.0,117.6,38.04523623267439
Standard,158000.0,131.8,30.8441242378512
Standard,160000.0,155.6,56.99684201778201
Standard,162000.0,152.4,43.73831272465823
Standard,164000.0,105.2,37.27948497498322
Standard,166000.0,129.6,29.997333214804282
Standard,168000.0,123.8,15.07846145997661
Standard,170000.0,156.0,38.64194612076364
Standard,172000.0,152.6,44.84908025812792
Standard,174000.0,185.8,43.36542401499148
Standard,176000.0,160.6,35.67408022640528
Standard,178000.0,183.4,107.67098030574441
Standard,180000.0,147.8,25.43540839066674
Standard,182000.0,161.0,37.87875393937873
Standard,184000.0,286.0,122.29963205177684
Standard,186000.0,257.8,191.17468451654366
Standard,188000.0,291.6,163.65158111060217
Standard,190000.0,324.0,340.60005871990097
Standard,192000.0,297.2,351.4993029865066
Standard,194000.0,321.0,341.49084907212375
Standard,196000.0,353.0,324.382490279608
Standard,198000.0,367.0,332.5122554132404
Standard,200000.0,351.2,328.93853529192955
Custom,0.0,8.4,4.363484845854286
Custom,2000.0,8.8,3.54400902933387
Custom,4000.0,8.6,3.4409301068170506
Custom,6000.0,6.0,1.6733200530681511
Custom,8000.0,10.4,4.17612260356422
Custom,10000.0,9.2,3.059411708155671
Custom,12000.0,9.2,3.7629775444453557
Custom,14000.0,15.0,3.847076812334269
Custom,16000.0,8.6,3.4985711369071804
Custom,18000.0,13.2,6.675327707311454
Custom,20000.0,12.4,4.841487374764082
Custom,22000.0,12.4,6.406246951218787
Custom,24000.0,14.8,6.794115100585212
Custom,26000.0,14.8,7.782030583337488
Custom,28000.0,18.4,4.882622246293481
Custom,30000.0,13.2,7.520638270785266
Custom,32000.0,19.2,5.635601121442148
Custom,34000.0,15.4,4.5431266766402185
Custom,36000.0,16.2,4.707440918375928
Custom,38000.0,12.0,2.8284271247461903
Custom,40000.0,20.4,10.44222198576529
Custom,42000.0,16.0,6.418722614352485
Custom,44000.0,18.0,9.57078889120432
Custom,46000.0,15.8,4.48998886412873
Custom,48000.0,16.4,4.8
Custom,50000.0,18.2,4.791659420284375
Custom,52000.0,19.0,8.532291603080617
Custom,54000.0,19.8,7.249827584156743
Custom,56000.0,19.6,8.867919710958146
Custom,58000.0,17.4,2.154065922853802
Custom,60000.0,18.0,5.138093031466052
Custom,62000.0,12.8,3.6
Custom,64000.0,16.2,4.166533331199932
Custom,66000.0,19.2,9.368030742904295
Custom,68000.0,16.8,6.764613810115105
Custom,70000.0,15.6,5.276362383309167
Custom,72000.0,15.6,1.8547236990991407
Custom,74000.0,29.0,14.142135623730951
Custom,76000.0,18.4,8.499411744350311
Custom,78000.0,18.8,12.639620247459968
Custom,80000.0,23.2,8.997777503361595
Custom,82000.0,15.4,5.535341001239219
Custom,84000.0,18.0,7.536577472566709
Custom,86000.0,17.4,5.499090833947008
Custom,88000.0,19.8,9.80612053770501
Custom,90000.0,13.6,2.5768197453450252
Custom,92000.0,24.2,9.516301802696255
Custom,94000.0,18.4,7.2277243998370615
Custom,96000.0,16.0,7.92464510246358
Custom,98000.0,14.0,4.09878030638384
Custom,100000.0,17.2,5.946427498927402
Custom,102000.0,20.6,6.829348431585549
Custom,104000.0,14.6,4.317406628984581
Custom,106000.0,14.4,6.086049621881176
Custom,108000.0,15.6,3.8262252939417984
Custom,110000.0,16.4,4.127953488110059
Custom,112000.0,22.6,9.478396488858229
Custom,114000.0,15.2,1.469693845669907
Custom,116000.0,17.4,6.8
Custom,118000.0,19.4,9.024411338142782
Custom,120000.0,15.6,6.406246951218787
Custom,122000.0,18.0,9.549869109050658
Custom,124000.0,17.0,7.014271166700073
Custom,126000.0,17.8,5.2306787322488075
Custom,128000.0,20.6,12.531560158256434
Custom,130000.0,16.4,5.748043145279966
Custom,132000.0,17.2,7.95989949685296
Custom,134000.0,16.4,7.863841300534999
Custom,136000.0,19.2,8.681013765684282
Custom,138000.0,14.8,4.955804677345546
Custom,140000.0,15.6,6.770524351924303
Custom,142000.0,18.0,6.06630035524124
Custom,144000.0,15.8,5.635601121442148
Custom,146000.0,16.6,6.248199740725323
Custom,148000.0,17.8,5.844655678480984
Custom,150000.0,19.2,9.620810776644555
Custom,152000.0,20.2,10.342146779078316
Custom,154000.0,17.6,6.711184694225007
Custom,156000.0,19.6,6.829348431585549
Custom,158000.0,19.4,6.343500610861483
Custom,160000.0,16.8,5.5641710972974225
Custom,162000.0,21.6,8.867919710958146
Custom,164000.0,18.2,6.43117407632541
Custom,166000.0,20.0,7.745966692414834
Custom,168000.0,22.2,9.967948635501688
Custom,170000.0,19.6,8.822698000045111
Custom,172000.0,19.8,9.57914401186244
Custom,174000.0,15.6,5.3516352641038605
Custom,176000.0,19.2,9.152048950918042
Custom,178000.0,26.2,11.42628548566856
Custom,180000.0,22.4,9.178235124467012
Custom,182000.0,24.6,12.97073629367277
Custom,184000.0,22.6,13.42534915747073
Custom,186000.0,20.6,10.85541339608953
Custom,188000.0,20.6,8.867919710958146
Custom,190000.0,18.6,8.452218643646175
Custom,192000.0,20.4,12.32233744059949
Custom,194000.0,23.0,12.457929201917949
Custom,196000.0,18.8,9.96794863550169
Custom,198000.0,22.4,12.674383614203888
Custom,200000.0,21.4,12.419339757008018
