algorithm,timesteps,mean_return,std_return
PPO+CBF,155000.0,24.373974310573846,0.0
PPO+CBF,160000.0,14.05136177115336,0.0
PPO+CBF,165000.0,20.823711806361743,0.0
PPO+CBF,170000.0,32.01183834412838,0.0
PPO+CBF,175000.0,34.46409083872409,0.0
PPO+CBF,180000.0,24.830083485493308,0.0
PPO+CBF,185000.0,33.50813591073009,0.0
PPO+CBF,190000.0,27.288588654256387,0.0
PPO+CBF,195000.0,30.360179073683348,0.0
PPO+CBF,200000.0,24.721837137688777,0.0
PPO+CBF+RewardShaping,0.0,6.435283085861073,0.0
PPO+CBF+RewardShaping,5000.0,-0.32675894045701215,0.0
PPO+CBF+RewardShaping,10000.0,-3.4263030133346573,0.0
PPO+CBF+RewardShaping,15000.0,-2.057783136400917,0.0
PPO+CBF+RewardShaping,20000.0,10.669860810398703,0.0
PPO+CBF+RewardShaping,25000.0,19.876143345879836,0.0
PPO+CBF+RewardShaping,30000.0,16.367864938476686,0.0
PPO+CBF+RewardShaping,35000.0,17.071530199998385,0.0
PPO+CBF+RewardShaping,40000.0,0.8622279356846421,0.0
PPO+CBF+RewardShaping,45000.0,25.457483616008773,0.0
PPO+CBF+RewardShaping,50000.0,11.084060722609516,0.0
PPO+CBF+RewardShaping,55000.0,19.47271521399678,0.0
PPO+CBF+RewardShaping,60000.0,24.159281247579155,0.0
PPO+CBF+RewardShaping,65000.0,31.033269220878392,0.0
PPO+CBF+RewardShaping,70000.0,30.318659608677013,0.0
PPO+CBF+RewardShaping,75000.0,32.10073571618629,0.0
PPO+CBF+RewardShaping,80000.0,26.690499293656014,0.0
PPO+CBF+RewardShaping,85000.0,26.481795346384406,0.0
PPO+CBF+RewardShaping,90000.0,26.344179689855945,0.0
PPO+CBF+RewardShaping,95000.0,29.87106647831321,0.0
PPO+CBF+RewardShaping,100000.0,28.40916216514119,0.0
PPO+CBF+RewardShaping,105000.0,23.474137309786787,0.0
PPO+CBF+RewardShaping,110000.0,25.596119393870733,0.0
PPO+CBF+RewardShaping,115000.0,31.91631260832345,0.0
PPO+CBF+RewardShaping,120000.0,21.184717580068696,0.0
PPO+CBF+RewardShaping,125000.0,34.347987833041365,0.0
PPO+CBF+RewardShaping,130000.0,28.891420657532485,0.0
PPO+CBF+RewardShaping,135000.0,16.94687217766422,0.0
PPO+CBF+RewardShaping,140000.0,19.877856664331347,0.0
PPO+CBF+RewardShaping,145000.0,28.66768114454651,0.0
PPO+CBF+RewardShaping,150000.0,28.57496344932833,0.0
PPO+CBF+RewardShaping,155000.0,35.837213006275164,0.0
PPO+CBF+RewardShaping,160000.0,30.878378700801587,0.0
PPO+CBF+RewardShaping,165000.0,32.31286792184921,0.0
PPO+CBF+RewardShaping,170000.0,32.42211105645299,0.0
PPO+CBF+RewardShaping,175000.0,32.22342254654195,0.0
PPO+CBF+RewardShaping,180000.0,29.737597645977168,0.0
PPO+CBF+RewardShaping,185000.0,30.805857941243627,0.0
PPO+CBF+RewardShaping,190000.0,35.3599793160023,0.0
PPO+CBF+RewardShaping,195000.0,37.73052543751797,0.0
PPO+CBF+RewardShaping,200000.0,29.662410741043846,0.0
