tag,timesteps,episodic_return
baseline,39460,167.0
baseline,39651,191.0
baseline,39815,164.0
baseline,39962,147.0
baseline,40462,500.0
baseline,40962,500.0
baseline,41462,500.0
baseline,41962,500.0
baseline,42462,500.0
baseline,42868,406.0
baseline,43368,500.0
baseline,43506,138.0
baseline,44006,500.0
baseline,44506,500.0
baseline,45006,500.0
baseline,45506,500.0
baseline,46006,500.0
baseline,46506,500.0
baseline,47006,500.0
baseline,47506,500.0
baseline,47705,199.0
baseline,48070,365.0
baseline,48111,41.0
baseline,48611,500.0
baseline,49111,500.0
baseline,49611,500.0
baseline,49745,134.0
baseline,49782,37.0
baseline,49815,33.0
baseline,50118,303.0
symbolic,30,30.0
symbolic,50,20.0
symbolic,70,20.0
symbolic,92,22.0
symbolic,118,26.0
symbolic,152,34.0
symbolic,186,34.0
symbolic,199,13.0
symbolic,248,49.0
symbolic,264,16.0
symbolic,286,22.0
symbolic,321,35.0
symbolic,354,33.0
symbolic,371,17.0
symbolic,404,33.0
symbolic,416,12.0
symbolic,433,17.0
symbolic,449,16.0
symbolic,471,22.0
symbolic,501,30.0
symbolic,521,20.0
symbolic,537,16.0
symbolic,599,62.0
symbolic,609,10.0
symbolic,635,26.0
symbolic,651,16.0
symbolic,665,14.0
symbolic,675,10.0
symbolic,686,11.0
symbolic,704,18.0
symbolic,722,18.0
symbolic,742,20.0
symbolic,782,40.0
symbolic,797,15.0
symbolic,810,13.0
symbolic,841,31.0
symbolic,868,27.0
symbolic,877,9.0
symbolic,894,17.0
symbolic,920,26.0
symbolic,942,22.0
symbolic,956,14.0
symbolic,980,24.0
symbolic,988,8.0
symbolic,1014,26.0
symbolic,1028,14.0
symbolic,1043,15.0
symbolic,1062,19.0
symbolic,1076,14.0
symbolic,1093,17.0
symbolic,1108,15.0
symbolic,1123,15.0
symbolic,1134,11.0
symbolic,1150,16.0
symbolic,1165,15.0
symbolic,1184,19.0
symbolic,1209,25.0
symbolic,1225,16.0
symbolic,1237,12.0
symbolic,1247,10.0
symbolic,1259,12.0
symbolic,1280,21.0
symbolic,1315,35.0
symbolic,1328,13.0
symbolic,1343,15.0
symbolic,1356,13.0
symbolic,1371,15.0
symbolic,1385,14.0
symbolic,1398,13.0
symbolic,1436,38.0
symbolic,1445,9.0
symbolic,1464,19.0
symbolic,1476,12.0
symbolic,1497,21.0
symbolic,1514,17.0
symbolic,1528,14.0
symbolic,1554,26.0
symbolic,1571,17.0
symbolic,1591,20.0
symbolic,1623,32.0
symbolic,1636,13.0
symbolic,1663,27.0
symbolic,1773,110.0
symbolic,1798,25.0
symbolic,1809,11.0
symbolic,1821,12.0
symbolic,1891,70.0
symbolic,1903,12.0
symbolic,1937,34.0
symbolic,1962,25.0
symbolic,1989,27.0
symbolic,1999,10.0
symbolic,2015,16.0
symbolic,2026,11.0
symbolic,2068,42.0
symbolic,2088,20.0
symbolic,2099,11.0
symbolic,2156,57.0
symbolic,2179,23.0
symbolic,2206,27.0
symbolic,2221,15.0
symbolic,2249,28.0
symbolic,2346,97.0
symbolic,2410,64.0
symbolic,2497,87.0
symbolic,2513,16.0
symbolic,2531,18.0
symbolic,2636,105.0
symbolic,2741,105.0
symbolic,2780,39.0
symbolic,2817,37.0
symbolic,2879,62.0
symbolic,2888,9.0
symbolic,2924,36.0
symbolic,2944,20.0
symbolic,2978,34.0
symbolic,3000,22.0
symbolic,3117,117.0
symbolic,3198,81.0
symbolic,3238,40.0
symbolic,3367,129.0
symbolic,3408,41.0
symbolic,3558,150.0
symbolic,3574,16.0
symbolic,3601,27.0
symbolic,3643,42.0
symbolic,3684,41.0
symbolic,3870,186.0
symbolic,3885,15.0
symbolic,3932,47.0
symbolic,3949,17.0
symbolic,3982,33.0
symbolic,3993,11.0
symbolic,4027,34.0
symbolic,4048,21.0
symbolic,4058,10.0
symbolic,4110,52.0
symbolic,4130,20.0
symbolic,4216,86.0
symbolic,4258,42.0
symbolic,4293,35.0
symbolic,4349,56.0
symbolic,4375,26.0
symbolic,4463,88.0
symbolic,4486,23.0
symbolic,4503,17.0
symbolic,4655,152.0
symbolic,4793,138.0
symbolic,4916,123.0
symbolic,5114,198.0
symbolic,5160,46.0
symbolic,5219,59.0
symbolic,5366,147.0
symbolic,5642,276.0
symbolic,5654,12.0
symbolic,5677,23.0
symbolic,5748,71.0
symbolic,5815,67.0
symbolic,5917,102.0
symbolic,6085,168.0
symbolic,6324,239.0
symbolic,6557,233.0
symbolic,6744,187.0
symbolic,6845,101.0
symbolic,7008,163.0
symbolic,7357,349.0
symbolic,7609,252.0
symbolic,7927,318.0
symbolic,8427,500.0
symbolic,8927,500.0
symbolic,9225,298.0
symbolic,9442,217.0
symbolic,9862,420.0
symbolic,10349,487.0
symbolic,10849,500.0
symbolic,10938,89.0
symbolic,11438,500.0
symbolic,11938,500.0
symbolic,12141,203.0
symbolic,12331,190.0
symbolic,12495,164.0
symbolic,12691,196.0
symbolic,12969,278.0
symbolic,13469,500.0
symbolic,13969,500.0
symbolic,14207,238.0
symbolic,14373,166.0
symbolic,14599,226.0
symbolic,15099,500.0
symbolic,15599,500.0
symbolic,15880,281.0
symbolic,16174,294.0
symbolic,16277,103.0
symbolic,16777,500.0
symbolic,16866,89.0
symbolic,17366,500.0
symbolic,17557,191.0
symbolic,17845,288.0
symbolic,17853,8.0
symbolic,18129,276.0
symbolic,18203,74.0
symbolic,18303,100.0
symbolic,18311,8.0
symbolic,18383,72.0
symbolic,18461,78.0
symbolic,18951,490.0
symbolic,19028,77.0
symbolic,19186,158.0
symbolic,19432,246.0
symbolic,19495,63.0
symbolic,19625,130.0
symbolic,19730,105.0
symbolic,19847,117.0
symbolic,19976,129.0
symbolic,20067,91.0
symbolic,20104,37.0
symbolic,20163,59.0
symbolic,20195,32.0
symbolic,20234,39.0
symbolic,20463,229.0
symbolic,20524,61.0
symbolic,20539,15.0
symbolic,20882,343.0
symbolic,21141,259.0
symbolic,21214,73.0
symbolic,21322,108.0
symbolic,21504,182.0
symbolic,21575,71.0
symbolic,21583,8.0
symbolic,21756,173.0
symbolic,22028,272.0
symbolic,22230,202.0
symbolic,22730,500.0
symbolic,22925,195.0
symbolic,23073,148.0
symbolic,23090,17.0
symbolic,23159,69.0
symbolic,23226,67.0
symbolic,23301,75.0
symbolic,23410,109.0
symbolic,23418,8.0
symbolic,23447,29.0
symbolic,23458,11.0
symbolic,23651,193.0
symbolic,23680,29.0
symbolic,23690,10.0
symbolic,23699,9.0
symbolic,24072,373.0
symbolic,24085,13.0
symbolic,24182,97.0
symbolic,24190,8.0
symbolic,24484,294.0
symbolic,24609,125.0
symbolic,24730,121.0
symbolic,24801,71.0
symbolic,24809,8.0
symbolic,24821,12.0
symbolic,24830,9.0
symbolic,24889,59.0
symbolic,25016,127.0
symbolic,25073,57.0
symbolic,25097,24.0
symbolic,25180,83.0
symbolic,25199,19.0
symbolic,25298,99.0
symbolic,25412,114.0
symbolic,25477,65.0
symbolic,25664,187.0
symbolic,25674,10.0
symbolic,25698,24.0
symbolic,25709,11.0
symbolic,25719,10.0
