algorithm,timesteps,mean_return,std_return
CPO,155000.0,42.81740802675586,7.043552138508591
CPO,160000.0,25.6,10.170545708072897
CPO,165000.0,49.129893910967084,6.375857277778333
CPO,170000.0,46.79447780751645,8.034377802196325
CPO,175000.0,48.184734696950144,9.270178217750564
CPO,180000.0,28.8,18.925115587493778
CPO,185000.0,53.940316216747405,7.828297400573122
CPO,190000.0,46.78160446160446,7.214549165658067
CPO,195000.0,46.108951470800335,8.45960465981131
CPO,200000.0,28.8,18.77658115845374
CPO,205000.0,53.499938540561516,8.092735963958617
CPO,210000.0,55.32219261501748,7.669737427428416
CPO,215000.0,56.20411845761838,11.440602863364369
CPO,220000.0,16.4,10.287856919689348
CPO,225000.0,58.33826898337511,11.734914279586844
CPO,230000.0,53.62735042735043,8.668135966085702
CPO,235000.0,60.647592186929536,11.983182101631666
CPO,240000.0,17.6,8.822698000045111
PPO+CBF,0.0,10.0,4.147288270665544
PPO+CBF,5000.0,14.455194805194804,9.055003862892113
PPO+CBF,10000.0,16.51804114749348,7.105961303319708
PPO+CBF,15000.0,18.468566046059653,7.990746973599836
PPO+CBF,20000.0,15.4,7.657675887630659
PPO+CBF,25000.0,42.242450625109576,13.780752970560602
PPO+CBF,30000.0,70.30024361645208,30.201665429361253
PPO+CBF,35000.0,73.19182796495997,19.054167417908726
PPO+CBF,40000.0,60.2,30.32754523531372
PPO+CBF,45000.0,172.42153777571224,78.46416225577028
PPO+CBF,50000.0,439.53330265248644,325.1821520810474
PPO+CBF,55000.0,433.92309116738016,189.75469493887323
PPO+CBF,60000.0,357.0,223.86424457693104
PPO+CBF,65000.0,732.8329647058824,312.65908467753377
PPO+CBF,70000.0,858.8649616368286,282.2700767263427
PPO+CBF,75000.0,763.5467915653378,210.89831913284328
PPO+CBF,80000.0,470.2,414.7979749227327
PPO+CBF,85000.0,922.8564598984773,100.99317266373825
PPO+CBF,90000.0,904.2345864661654,191.53082706766918
PPO+CBF,95000.0,1000.0,0.0
PPO+CBF,100000.0,673.8,403.32636908588063
PPO+CBF,105000.0,833.4616960667461,204.04512590092935
PPO+CBF,110000.0,912.5724,174.8552
PPO+CBF,115000.0,1000.0,0.0
PPO+CBF,120000.0,1000.0,0.0
PPO+CBF,125000.0,800.8238666666666,247.95756296284068
PPO+CBF,130000.0,950.1922000000001,99.61559999999999
PPO+CBF,135000.0,885.4534,142.81788783426256
PPO+CBF,140000.0,872.4,255.2
PPO+CBF,145000.0,1000.0,0.0
PPO+CBF,150000.0,855.3009523809524,289.39809523809527
PPO+CBF,155000.0,873.3988980716252,253.2022038567493
PPO+CBF,160000.0,728.6,332.6485232193283
PPO+CBF,165000.0,950.0577999999999,99.8844
PPO+CBF,170000.0,978.5768,42.846399999999996
PPO+CBF,175000.0,975.3345856353592,49.330828729281755
PPO+CBF,180000.0,734.6,382.4037656718354
PPO+CBF,185000.0,879.6746081504701,240.65078369905956
PPO+CBF,190000.0,933.024,133.95200000000003
PPO+CBF,195000.0,949.8576,100.28479999999999
PPO+CBF,200000.0,909.2,181.59999999999997
PPO+CBF,205000.0,1000.0,0.0
PPO+CBF,210000.0,950.7853658536585,98.4292682926829
PPO+CBF,215000.0,1000.0,0.0
PPO+CBF,220000.0,915.4,169.2
PPO+CBF,225000.0,962.5,75.0
PPO+CBF,230000.0,846.8025531914893,306.3948936170213
PPO+CBF,235000.0,907.4132564841499,185.1734870317003
PPO+CBF,240000.0,920.2,159.6
