timesteps,return
2.786000000000000000e+03,1.500000000000000000e+01
2.799000000000000000e+03,1.300000000000000000e+01
2.817000000000000000e+03,1.800000000000000000e+01
2.854000000000000000e+03,3.700000000000000000e+01
2.870000000000000000e+03,1.600000000000000000e+01
2.880000000000000000e+03,1.000000000000000000e+01
2.960000000000000000e+03,8.000000000000000000e+01
2.976000000000000000e+03,1.600000000000000000e+01
2.996000000000000000e+03,2.000000000000000000e+01
3.013000000000000000e+03,1.700000000000000000e+01
3.031000000000000000e+03,1.800000000000000000e+01
3.053000000000000000e+03,2.200000000000000000e+01
3.062000000000000000e+03,9.000000000000000000e+00
3.075000000000000000e+03,1.300000000000000000e+01
3.115000000000000000e+03,4.000000000000000000e+01
3.124000000000000000e+03,9.000000000000000000e+00
3.133000000000000000e+03,9.000000000000000000e+00
3.158000000000000000e+03,2.500000000000000000e+01
3.178000000000000000e+03,2.000000000000000000e+01
3.197000000000000000e+03,1.900000000000000000e+01
3.244000000000000000e+03,4.700000000000000000e+01
3.265000000000000000e+03,2.100000000000000000e+01
3.280000000000000000e+03,1.500000000000000000e+01
3.297000000000000000e+03,1.700000000000000000e+01
3.310000000000000000e+03,1.300000000000000000e+01
3.337000000000000000e+03,2.700000000000000000e+01
3.345000000000000000e+03,8.000000000000000000e+00
3.367000000000000000e+03,2.200000000000000000e+01
3.387000000000000000e+03,2.000000000000000000e+01
3.404000000000000000e+03,1.700000000000000000e+01
3.420000000000000000e+03,1.600000000000000000e+01
3.433000000000000000e+03,1.300000000000000000e+01
3.461000000000000000e+03,2.800000000000000000e+01
3.479000000000000000e+03,1.800000000000000000e+01
3.490000000000000000e+03,1.100000000000000000e+01
3.512000000000000000e+03,2.200000000000000000e+01
3.525000000000000000e+03,1.300000000000000000e+01
3.544000000000000000e+03,1.900000000000000000e+01
3.558000000000000000e+03,1.400000000000000000e+01
3.567000000000000000e+03,9.000000000000000000e+00
3.591000000000000000e+03,2.400000000000000000e+01
3.605000000000000000e+03,1.400000000000000000e+01
3.619000000000000000e+03,1.400000000000000000e+01
3.630000000000000000e+03,1.100000000000000000e+01
3.656000000000000000e+03,2.600000000000000000e+01
3.672000000000000000e+03,1.600000000000000000e+01
3.695000000000000000e+03,2.300000000000000000e+01
3.706000000000000000e+03,1.100000000000000000e+01
3.722000000000000000e+03,1.600000000000000000e+01
3.761000000000000000e+03,3.900000000000000000e+01
3.799000000000000000e+03,3.800000000000000000e+01
3.815000000000000000e+03,1.600000000000000000e+01
3.834000000000000000e+03,1.900000000000000000e+01
3.864000000000000000e+03,3.000000000000000000e+01
3.883000000000000000e+03,1.900000000000000000e+01
3.941000000000000000e+03,5.800000000000000000e+01
3.969000000000000000e+03,2.800000000000000000e+01
3.984000000000000000e+03,1.500000000000000000e+01
4.022000000000000000e+03,3.800000000000000000e+01
4.040000000000000000e+03,1.800000000000000000e+01
4.072000000000000000e+03,3.200000000000000000e+01
4.087000000000000000e+03,1.500000000000000000e+01
4.104000000000000000e+03,1.700000000000000000e+01
4.119000000000000000e+03,1.500000000000000000e+01
4.140000000000000000e+03,2.100000000000000000e+01
4.155000000000000000e+03,1.500000000000000000e+01
4.215000000000000000e+03,6.000000000000000000e+01
4.250000000000000000e+03,3.500000000000000000e+01
4.299000000000000000e+03,4.900000000000000000e+01
4.312000000000000000e+03,1.300000000000000000e+01
4.335000000000000000e+03,2.300000000000000000e+01
4.356000000000000000e+03,2.100000000000000000e+01
4.376000000000000000e+03,2.000000000000000000e+01
4.407000000000000000e+03,3.100000000000000000e+01
4.427000000000000000e+03,2.000000000000000000e+01
4.442000000000000000e+03,1.500000000000000000e+01
4.473000000000000000e+03,3.100000000000000000e+01
4.488000000000000000e+03,1.500000000000000000e+01
4.533000000000000000e+03,4.500000000000000000e+01
4.556000000000000000e+03,2.300000000000000000e+01
4.567000000000000000e+03,1.100000000000000000e+01
4.656000000000000000e+03,8.900000000000000000e+01
4.682000000000000000e+03,2.600000000000000000e+01
4.746000000000000000e+03,6.400000000000000000e+01
4.792000000000000000e+03,4.600000000000000000e+01
4.832000000000000000e+03,4.000000000000000000e+01
4.862000000000000000e+03,3.000000000000000000e+01
4.945000000000000000e+03,8.300000000000000000e+01
5.005000000000000000e+03,6.000000000000000000e+01
5.041000000000000000e+03,3.600000000000000000e+01
5.059000000000000000e+03,1.800000000000000000e+01
5.079000000000000000e+03,2.000000000000000000e+01
5.112000000000000000e+03,3.300000000000000000e+01
5.128000000000000000e+03,1.600000000000000000e+01
5.147000000000000000e+03,1.900000000000000000e+01
5.170000000000000000e+03,2.300000000000000000e+01
5.191000000000000000e+03,2.100000000000000000e+01
5.201000000000000000e+03,1.000000000000000000e+01
5.247000000000000000e+03,4.600000000000000000e+01
5.277000000000000000e+03,3.000000000000000000e+01
5.293000000000000000e+03,1.600000000000000000e+01
5.389000000000000000e+03,9.600000000000000000e+01
5.408000000000000000e+03,1.900000000000000000e+01
5.458000000000000000e+03,5.000000000000000000e+01
5.471000000000000000e+03,1.300000000000000000e+01
5.495000000000000000e+03,2.400000000000000000e+01
5.553000000000000000e+03,5.800000000000000000e+01
5.654000000000000000e+03,1.010000000000000000e+02
5.785000000000000000e+03,1.310000000000000000e+02
5.805000000000000000e+03,2.000000000000000000e+01
5.824000000000000000e+03,1.900000000000000000e+01
5.843000000000000000e+03,1.900000000000000000e+01
5.868000000000000000e+03,2.500000000000000000e+01
5.888000000000000000e+03,2.000000000000000000e+01
5.932000000000000000e+03,4.400000000000000000e+01
5.947000000000000000e+03,1.500000000000000000e+01
6.047000000000000000e+03,1.000000000000000000e+02
6.063000000000000000e+03,1.600000000000000000e+01
6.091000000000000000e+03,2.800000000000000000e+01
6.103000000000000000e+03,1.200000000000000000e+01
6.201000000000000000e+03,9.800000000000000000e+01
6.231000000000000000e+03,3.000000000000000000e+01
6.267000000000000000e+03,3.600000000000000000e+01
6.343000000000000000e+03,7.600000000000000000e+01
6.366000000000000000e+03,2.300000000000000000e+01
6.437000000000000000e+03,7.100000000000000000e+01
6.480000000000000000e+03,4.300000000000000000e+01
6.529000000000000000e+03,4.900000000000000000e+01
6.615000000000000000e+03,8.600000000000000000e+01
6.659000000000000000e+03,4.400000000000000000e+01
6.731000000000000000e+03,7.200000000000000000e+01
6.805000000000000000e+03,7.400000000000000000e+01
6.928000000000000000e+03,1.230000000000000000e+02
7.005000000000000000e+03,7.700000000000000000e+01
7.034000000000000000e+03,2.900000000000000000e+01
7.156000000000000000e+03,1.220000000000000000e+02
7.293000000000000000e+03,1.370000000000000000e+02
7.426000000000000000e+03,1.330000000000000000e+02
7.518000000000000000e+03,9.200000000000000000e+01
7.546000000000000000e+03,2.800000000000000000e+01
7.580000000000000000e+03,3.400000000000000000e+01
7.680000000000000000e+03,1.000000000000000000e+02
7.709000000000000000e+03,2.900000000000000000e+01
7.735000000000000000e+03,2.600000000000000000e+01
7.759000000000000000e+03,2.400000000000000000e+01
7.827000000000000000e+03,6.800000000000000000e+01
7.928000000000000000e+03,1.010000000000000000e+02
7.943000000000000000e+03,1.500000000000000000e+01
7.968000000000000000e+03,2.500000000000000000e+01
8.020000000000000000e+03,5.200000000000000000e+01
8.063000000000000000e+03,4.300000000000000000e+01
8.155000000000000000e+03,9.200000000000000000e+01
8.224000000000000000e+03,6.900000000000000000e+01
8.237000000000000000e+03,1.300000000000000000e+01
8.314000000000000000e+03,7.700000000000000000e+01
8.343000000000000000e+03,2.900000000000000000e+01
8.357000000000000000e+03,1.400000000000000000e+01
8.371000000000000000e+03,1.400000000000000000e+01
8.401000000000000000e+03,3.000000000000000000e+01
8.447000000000000000e+03,4.600000000000000000e+01
8.513000000000000000e+03,6.600000000000000000e+01
8.536000000000000000e+03,2.300000000000000000e+01
8.565000000000000000e+03,2.900000000000000000e+01
