environment,timestep,episode_return,episode_length
Custom,6375,8.935546,31
Custom,6454,54.985032,79
Custom,6526,17.786655,72
Custom,6570,28.893465,44
Custom,6607,21.652302,37
Custom,6654,21.491277,47
Custom,6747,20.461036,93
Custom,6783,19.802332,36
Custom,6837,33.620989,54
Custom,6933,47.420875,96
Custom,7015,59.316177,82
Custom,7044,14.135975,29
Custom,7122,53.540158,78
Custom,7152,12.498489,30
Custom,7178,13.295394,26
Custom,7217,-1.409635,39
Custom,7254,16.343865,37
Custom,7318,15.308687,64
Custom,7398,41.304164,80
Custom,7468,21.125068,70
Custom,7513,29.582942,45
Custom,7543,15.572354,30
Custom,7580,17.184261,37
Custom,7653,-25.60318,73
Custom,7693,23.474605,40
Custom,7721,12.588649,28
Custom,7825,60.728504,104
Custom,7847,4.539299,22
Custom,7938,2.983258,91
Custom,7980,18.606302,42
Custom,8015,16.590726,35
Custom,8073,11.619719,58
Custom,8105,18.71764,32
Custom,8233,57.650245,128
Custom,8382,74.967791,149
Custom,8441,21.360458,59
Custom,8488,19.759654,47
Custom,8563,25.810539,75
Custom,8655,30.448025,92
Custom,8728,30.706412,73
Custom,8764,20.453137,36
Custom,8805,24.477934,41
Custom,8855,12.332623,50
Custom,8903,11.290572,48
Custom,8948,26.435138,45
Custom,9006,29.102438,58
Custom,9123,59.673395,117
Custom,9204,35.487994,81
Custom,9272,22.593866,68
Custom,9301,12.182229,29
Custom,9367,44.290881,66
Custom,9421,31.388156,54
Custom,9531,77.579807,110
Custom,9604,54.388542,73
Custom,9687,42.991738,83
Custom,9732,24.931245,45
Custom,9786,26.930432,54
Custom,9870,32.859929,84
Custom,9896,6.37807,26
Custom,9992,53.112672,96
Custom,10069,31.872528,77
Custom,10145,53.235548,76
Custom,10185,19.469627,40
Custom,10219,8.8285,34
Custom,10307,15.199276,88
Custom,10348,25.24574,41
Custom,10399,23.010801,51
Custom,10448,22.06933,49
Custom,10509,44.81304,61
Custom,10568,22.340104,59
Custom,10740,111.586449,172
Custom,10855,76.005093,115
Custom,10915,9.738225,60
Custom,10995,43.37415,80
Custom,11058,39.722174,63
Custom,11113,30.04523,55
Custom,11203,54.03667,90
Custom,11252,21.885716,49
Custom,11287,19.864542,35
Custom,11385,64.698032,98
Custom,11436,7.621225,51
Custom,11483,19.955869,47
Custom,11543,38.169012,60
Custom,11620,18.315046,77
Custom,11678,25.364496,58
Custom,11700,9.254716,22
Custom,11780,54.776829,80
Custom,11837,34.885522,57
Custom,11891,28.500757,54
Custom,11956,34.702917,65
Custom,12050,53.313641,94
Custom,12135,51.829139,85
Custom,12190,35.342895,55
Custom,12283,56.745788,93
Custom,12312,7.703815,29
Custom,12422,73.347349,110
Custom,12487,34.843496,65
Custom,12560,25.868443,73
Custom,12659,53.512692,99
Custom,12763,59.547061,104
Custom,12828,42.058318,65
Custom,12897,43.300456,69
Custom,12940,16.394819,43
Custom,13000,36.016165,60
Custom,13100,71.724967,100
Custom,13174,42.368342,74
Custom,13241,33.36727,67
Custom,13306,27.732172,65
Custom,13386,39.156661,80
Custom,13438,27.30723,52
Custom,13514,43.127926,76
Custom,13686,123.799203,172
Custom,13825,97.541629,139
Custom,13873,10.798525,48
Custom,13921,24.197955,48
Custom,14079,116.28756,158
Custom,14174,44.414321,95
Custom,14267,36.798986,93
Custom,14299,10.201751,32
Custom,14362,31.391244,63
Custom,14570,154.646335,208
Custom,14637,40.221752,67
Custom,14740,36.223629,103
Custom,14920,109.377781,180
Custom,14999,33.29979,79
Custom,15059,17.084304,60
Custom,15118,16.91751,59
Custom,15170,25.147268,52
Custom,15226,11.866812,56
Custom,15277,9.427725,51
Custom,15330,9.340514,53
Custom,15430,30.540229,100
Custom,15489,22.340302,59
Custom,15551,39.783376,62
Custom,15643,42.969938,92
Custom,15694,26.682139,51
Custom,15795,73.177883,101
Custom,15869,47.675275,74
Custom,15957,38.795163,88
Custom,16024,38.61599,67
Custom,16144,86.861098,120
Custom,16221,19.461255,77
Custom,16406,121.086875,185
Custom,16491,42.800956,85
Custom,16541,12.829988,50
Custom,16634,50.493524,93
Custom,16790,118.90292,156
Custom,16863,31.316472,73
Custom,16960,58.75751,97
Custom,17045,52.373682,85
Custom,17139,48.149559,94
Custom,17201,30.61563,62
Custom,17280,32.103103,79
Custom,17353,40.193908,73
Custom,17401,20.817998,48
Custom,17465,33.442746,64
Custom,17527,28.807393,62
Custom,17579,29.135345,52
