environment,timesteps,mean_metric,std_metric
Custom,22000.0,6.666666666666667,3.0912061651652345
Custom,24000.0,14.666666666666666,3.7712361663282534
Custom,26000.0,10.666666666666666,3.2998316455372216
Custom,28000.0,13.333333333333334,3.0912061651652345
Custom,30000.0,13.0,4.898979485566356
Custom,32000.0,18.333333333333332,2.6246692913372702
Custom,34000.0,20.666666666666668,6.182412330330469
Custom,36000.0,25.0,8.831760866327848
Custom,38000.0,21.0,11.86029791643813
Custom,40000.0,18.333333333333332,6.649979114420001
Custom,42000.0,21.0,9.273618495495704
Custom,44000.0,22.666666666666668,6.599663291074443
Custom,46000.0,16.0,2.8284271247461903
Custom,48000.0,28.666666666666668,4.496912521077347
Custom,50000.0,27.0,9.41629792788369
Custom,52000.0,16.333333333333332,2.6246692913372702
Custom,54000.0,30.333333333333332,12.036980056845193
Custom,56000.0,14.333333333333334,5.734883511361751
Custom,58000.0,30.666666666666668,9.285592184789413
Custom,60000.0,27.0,12.192894105447921
Custom,62000.0,21.0,5.656854249492381
Custom,64000.0,20.333333333333332,1.247219128924647
Custom,66000.0,19.0,2.160246899469287
Custom,68000.0,11.333333333333334,0.4714045207910317
Custom,70000.0,26.666666666666668,6.342099196813483
Custom,72000.0,21.0,4.96655480858378
Custom,74000.0,25.0,8.04155872120988
Custom,76000.0,22.666666666666668,3.299831645537222
Custom,78000.0,18.666666666666668,1.699673171197595
Custom,80000.0,24.666666666666668,8.178562764256865
Custom,82000.0,30.0,15.253414918196734
Custom,84000.0,26.333333333333332,8.576453553512405
Custom,86000.0,25.0,9.93310961716756
Custom,88000.0,26.0,2.160246899469287
Custom,90000.0,26.0,10.98483803552272
Custom,92000.0,28.666666666666668,10.370899457402697
Custom,94000.0,25.666666666666668,12.283683848458853
Custom,96000.0,33.0,13.366625103842281
Custom,98000.0,45.666666666666664,15.369522511198006
Custom,100000.0,40.0,12.083045973594572
Custom,102000.0,40.0,24.26245384677046
Custom,104000.0,21.0,7.3484692283495345
Custom,106000.0,27.0,8.524474568362947
Custom,108000.0,31.0,8.04155872120988
Custom,110000.0,46.666666666666664,14.704496666741854
Custom,112000.0,46.0,23.366642891095847
Custom,114000.0,24.0,11.045361017187261
Custom,116000.0,38.666666666666664,18.55322673343433
Custom,118000.0,32.666666666666664,12.657891697365017
Custom,120000.0,25.666666666666668,5.436502143433363
Custom,122000.0,36.333333333333336,15.2825245151302
Custom,124000.0,48.666666666666664,19.014614262602212
Custom,126000.0,54.666666666666664,37.06151043273271
Custom,128000.0,51.333333333333336,25.249862485874168
Custom,130000.0,42.333333333333336,9.104333522498441
Custom,132000.0,53.0,26.08958923913266
Custom,134000.0,39.333333333333336,13.424687043734847
Custom,136000.0,43.666666666666664,6.018490028422596
Custom,138000.0,38.666666666666664,17.441967269268172
Custom,140000.0,39.666666666666664,19.601587237318874
Custom,142000.0,77.33333333333333,27.764885897278397
Custom,144000.0,72.33333333333333,42.20847729491737
Custom,146000.0,76.0,29.473151624260794
Custom,148000.0,69.33333333333333,44.34210439550904
Custom,150000.0,62.333333333333336,32.96799795087486
Custom,152000.0,68.0,50.20624131187941
Custom,154000.0,86.0,57.69459824512748
Custom,156000.0,86.0,54.5221667458903
Custom,158000.0,77.66666666666667,49.032868794536405
Custom,160000.0,169.33333333333334,117.19594228849773
Custom,162000.0,95.66666666666667,66.35426805329774
Custom,164000.0,70.0,47.58150901348127
Custom,166000.0,130.66666666666666,83.65537772446086
Custom,168000.0,92.66666666666667,73.45898326428308
Custom,170000.0,140.33333333333334,107.98868253458579
Custom,172000.0,95.66666666666667,99.99111071601426
Custom,174000.0,126.0,82.59539938761722
Custom,176000.0,124.66666666666667,74.25332016519904
Custom,178000.0,121.33333333333333,69.97777424932069
Custom,180000.0,101.33333333333333,69.42782023239836
Custom,182000.0,126.0,63.01322612489117
Custom,184000.0,146.66666666666666,115.12408764266303
Custom,186000.0,284.3333333333333,267.7029863279244
Custom,188000.0,182.33333333333334,164.61942642214362
Custom,190000.0,211.33333333333334,198.38066662073925
Custom,192000.0,207.0,183.31575673320248
Custom,194000.0,388.3333333333333,433.77592781937034
Custom,196000.0,417.3333333333333,417.54387660327257
Custom,198000.0,412.3333333333333,421.77903641072015
Custom,200000.0,422.3333333333333,416.6327986235468
Custom,202000.0,390.0,434.2011822492733
Custom,204000.0,442.0,400.06999387607163
Custom,206000.0,403.3333333333333,428.6858471603134
Custom,208000.0,381.0,438.946465984179
Custom,210000.0,421.3333333333333,414.2320873884859
Custom,212000.0,400.0,427.4700769254693
Custom,214000.0,422.3333333333333,412.283343776529
Custom,216000.0,414.3333333333333,420.9594860421712
Custom,218000.0,429.0,409.7487034756791
Custom,220000.0,431.6666666666667,410.0018970145816
Custom,222000.0,554.0,399.32192526832284
Custom,224000.0,510.3333333333333,377.9244486519612
Custom,226000.0,559.6666666666666,391.91183815864616
Custom,228000.0,515.0,392.37821889940153
Custom,230000.0,643.6666666666666,429.8312330309291
Custom,232000.0,675.0,459.6194077712559
Custom,234000.0,680.3333333333334,452.07693543859943
Custom,236000.0,679.3333333333334,453.4911490009725
Custom,238000.0,681.0,451.1341263970173
Custom,240000.0,686.6666666666666,443.12024954356974
Custom,242000.0,678.6666666666666,454.43395804255454
Custom,244000.0,679.0,453.96255352176354
Custom,246000.0,678.6666666666666,454.43395804255454
Custom,248000.0,685.3333333333334,445.0058676267339
Custom,250000.0,681.6666666666666,450.1913173554353
