Epoch,AverageEpRet,StdEpRet,MaxEpRet,MinEpRet,AverageEpCost,StdEpCost,MaxEpCost,MinEpCost,EpLen,CumulativeCost,CostRate,AverageVVals,StdVVals,MaxVVals,MinVVals,AverageCostVVals,StdCostVVals,MaxCostVVals,MinCostVVals,LossPi,DeltaLossPi,SurrCost,DeltaSurrCost,LossV,DeltaLossV,LossVC,DeltaLossVC,Penalty,DeltaPenalty,StopIter,Entropy,KL,TotalEnvInteracts,Time,ViolationsPerEpoch
24,57.739132,16.497389,108.0,36.0,1.557283,0.5846828,3.4936948,0.58716124,57.739132,3016.311,0.030163111,25.560719,4.8746166,27.139446,-3.099721,1.1960999,0.040901624,1.256328,0.8433189,-7.683396e-09,-0.0032159975,-6.6161157e-09,0.0027315216,187.62724,-0.56980896,0.2633321,-0.046536326,0.39618126,-0.013713926,79.0,0.89066344,0.0031511572,100000,59.15050411224365,0
25,58.764706,13.284353,104.0,39.0,1.8485116,0.73766834,3.515438,0.70030737,58.764706,3142.0144,0.030211678,25.593216,5.4355264,27.38552,-6.486684,0.98772955,0.09270311,1.2881043,0.520224,7.0024413e-09,-0.0014742262,1.3113022e-09,0.0004414653,172.03944,-0.45837402,0.37705737,-0.04213026,0.38246733,-0.008852035,79.0,0.9174463,0.0019708893,104000,61.55062103271485,0
26,57.782608,18.265251,158.0,31.0,1.8689257,0.620981,3.339444,0.6224791,57.782608,3270.987,0.030286917,25.986324,4.6448445,27.33579,-1.3362583,1.1898326,0.089041166,1.4338073,0.7099191,4.299182e-09,-0.0017297076,2.0861626e-09,0.0023757445,206.30977,-0.26750183,0.26721734,-0.0025485754,0.3736153,-0.009904116,79.0,0.8897267,0.0032725448,108000,63.92870903015137,0
27,55.291668,11.968057,91.0,37.0,1.9441524,0.5520539,3.8914618,0.72797894,55.291668,3411.0273,0.0304556,26.095997,4.283907,27.2594,-0.03292185,1.1951369,0.058872778,1.3108113,0.8207281,2.0744109e-09,-0.0021082156,5.1558016e-09,0.0008625492,165.82169,-3.0101166,0.22883041,-0.009444103,0.36371118,-0.009461284,79.0,0.91447926,0.00269125,112000,66.31259799003601,0
28,58.880596,16.568737,122.0,38.0,2.1590447,0.714112,5.3165445,0.7577691,58.880596,3556.0366,0.030655488,24.65511,3.8052752,25.620789,-1.5453297,1.2860986,0.07957243,1.4600213,0.58122575,-2.3352566e-08,-0.0019822365,2.384186e-10,-0.000929565,205.58592,-3.0437622,0.36340344,-0.01736921,0.3542499,-0.006071925,79.0,0.8943035,0.0024830166,116000,68.70021462440491,0
29,59.53731,13.590304,105.0,40.0,2.0681987,0.7284142,3.989786,0.9196567,59.53731,3694.6821,0.030789018,25.841541,4.749276,27.219875,-1.4779274,1.3814479,0.054496,1.5025185,0.86435497,1.1311459e-08,-0.003957121,4.082918e-09,0.0022172,178.25372,-0.15022278,0.32981077,-0.020053118,0.34817797,-0.010654062,79.0,0.8813632,0.004586007,120000,71.07216739654541,0
30,61.107693,13.509111,111.0,43.0,2.0662255,0.6494811,4.024944,0.75565624,61.107693,3829.1357,0.030880127,26.281075,4.1440425,27.356482,-0.92286885,1.327873,0.1255139,1.6406932,0.67121035,-8.920205e-09,-0.0019530085,-2.9802324e-11,-0.00019280089,188.09737,-0.19134521,0.29111066,-0.0016102195,0.3375239,-0.0067126155,79.0,0.9014167,0.0027393803,124000,73.54207229614258,0
31,65.16393,17.332031,120.0,39.0,2.131298,0.8730167,4.581569,0.8760945,65.16393,3959.1663,0.030930987,26.174685,4.9014506,27.59924,-3.616385,1.3295289,0.10024664,1.5772003,0.67816585,2.3740667e-09,-0.0015092362,3.784895e-09,0.0017470531,217.12813,-4.229248,0.43778113,-0.0018016994,0.3308113,-0.005991429,79.0,0.9293244,0.002313028,128000,75.93204832077026,0
32,63.238094,14.278093,106.0,41.0,2.3140652,0.7704401,4.292877,1.0449151,63.238094,4105.002,0.0310985,28.124594,4.9874654,29.532642,-0.9179818,1.3237246,0.14248109,1.6977779,0.5939819,-1.1722937e-09,-0.0014092021,6.2286856e-09,0.00097280263,195.58752,-0.9645996,0.3929734,-0.023982972,0.32481986,-0.004829943,79.0,0.9462025,0.002461255,132000,78.31152772903442,0
33,60.272728,16.477299,119.0,37.0,2.4633627,0.7183385,4.613514,0.7970688,60.272728,4267.6587,0.031379845,27.360266,4.7018676,28.649794,-1.092665,1.4694749,0.13255452,1.7776341,0.66191685,-6.2061707e-09,-0.0018874543,1.9669533e-09,-0.0013067198,201.51857,-0.7996979,0.3708192,-0.014986873,0.31998992,-0.0023288429,79.0,0.93113595,0.002972717,136000,80.69109845161438,0
34,66.28333,15.061089,110.0,45.0,2.2229323,0.74182194,4.4146047,1.0147009,66.28333,4401.1724,0.031436946,26.6574,4.4622254,27.831097,-0.15954563,1.5667416,0.108087376,1.7491701,0.710572,-4.50536e-09,-0.004064808,6.0796737e-09,0.0014200313,212.4708,-2.5810547,0.35783368,-0.03975138,0.31766108,-0.007265091,79.0,0.93648255,0.005566534,140000,83.063894033432,0
35,65.22951,20.867573,170.0,39.0,2.359111,0.7525012,4.5578747,1.0970238,65.22951,4545.121,0.03156334,28.368362,4.1002297,29.34467,0.053999484,1.3892186,0.19449793,1.9230341,0.5398995,-7.865136e-10,-0.0031784382,2.0563602e-09,0.0021981045,246.2616,-0.12394714,0.40359047,-0.025220424,0.310396,-0.0069797635,79.0,0.96677464,0.0038531756,144000,85.42894649505615,0
36,70.55357,18.053413,119.0,45.0,2.5642316,0.81696093,4.5587583,1.2029942,70.55357,4688.799,0.031681072,28.337942,4.6909456,29.57754,-1.2192049,1.4535173,0.09952521,1.6423129,0.7698498,2.0304222e-10,-0.0024244073,2.4437905e-09,0.00034760401,239.51709,-2.9863892,0.43860406,-0.013251603,0.30341622,-0.002879113,79.0,0.9903843,0.0034490642,148000,87.8174147605896,0
