algorithm,timesteps,mean_episode_length,std_episode_length
PPO-Lagrangian,145000.0,273.91821700246965,329.20637856261703
PPO-Lagrangian,150000.0,300.85846153846154,351.5526911309599
PPO-Lagrangian,155000.0,194.89188364011892,105.51428815894887
PPO-Lagrangian,160000.0,250.0,376.6765190451882
PPO-Lagrangian,165000.0,404.381215379598,307.23949972359947
PPO-Lagrangian,170000.0,443.09884453161897,308.90407437024487
PPO-Lagrangian,175000.0,479.93615463599633,335.369496756611
PPO-Lagrangian,180000.0,411.2,373.652994100141
PPO-Lagrangian,185000.0,635.5547754101748,366.8236427155639
PPO-Lagrangian,190000.0,698.0937522333086,374.85884695193533
PPO-Lagrangian,195000.0,733.9657037768009,347.7040817809122
PPO-Lagrangian,200000.0,535.2,344.90659605174267
CPO,0.0,10.4,4.498888751680798
CPO,5000.0,16.12549019607843,6.7371924319801435
CPO,10000.0,15.274285714285714,5.956795010970336
CPO,15000.0,13.505555555555555,3.469461124415024
CPO,20000.0,8.2,8.611620056644394
CPO,25000.0,23.896315789473686,4.939484178698049
CPO,30000.0,30.057487354750513,11.521254822543353
CPO,35000.0,22.07269448190501,6.021744431991754
CPO,40000.0,18.0,6.985699678629192
CPO,45000.0,37.563009404388715,14.33919516426032
CPO,50000.0,42.035842588783765,12.638163029776159
CPO,55000.0,33.08371476568408,7.704841728285475
CPO,60000.0,16.2,8.818163074019441
CPO,65000.0,40.884062361786825,12.236178154907808
CPO,70000.0,48.72379676255238,11.205052961467263
CPO,75000.0,43.46214038965462,8.590098342986476
CPO,80000.0,16.0,10.178408519999577
CPO,85000.0,43.54812104152006,6.820990306659317
CPO,90000.0,43.0302277152897,3.963593567705931
CPO,95000.0,51.55243785486946,10.81029426587883
CPO,100000.0,22.0,11.366617790706258
CPO,105000.0,48.542488236401276,9.837284561207664
CPO,110000.0,57.81483711135886,7.298633211179117
CPO,115000.0,49.11955681208654,5.570793661209431
CPO,120000.0,22.8,13.22724461102916
CPO,125000.0,58.98223773593061,18.120855390920898
CPO,130000.0,59.069691040595345,9.483002820821408
CPO,135000.0,51.611614791662795,9.435681835700164
CPO,140000.0,27.2,13.166624472506232
CPO,145000.0,55.9466611819553,16.939861083839006
CPO,150000.0,51.38904329849729,11.013202765490925
CPO,155000.0,56.28862642929512,10.166625225796329
CPO,160000.0,17.2,11.01635148313633
CPO,165000.0,53.06278995152837,3.096193864211206
CPO,170000.0,46.03890889689209,3.252678809885201
CPO,175000.0,52.44545454545455,5.870813085169015
CPO,180000.0,23.6,13.573503600765722
CPO,185000.0,58.68182811260588,8.81238296038814
CPO,190000.0,53.72559861191439,3.3216285416797797
CPO,195000.0,53.07402632647236,9.313961079471412
CPO,200000.0,39.2,12.139192724394814
PPO+CBF,0.0,9.6,3.006659275674582
PPO+CBF,5000.0,14.398560606060604,5.540078784086405
PPO+CBF,10000.0,21.100535714285716,10.451021511687511
PPO+CBF,15000.0,18.673321123321124,7.939626053200377
PPO+CBF,20000.0,17.2,6.013318551349164
PPO+CBF,25000.0,52.88599652199652,25.77644001467607
PPO+CBF,30000.0,63.66283810351607,37.737251202287304
PPO+CBF,35000.0,66.00556535061283,10.875680078791119
PPO+CBF,40000.0,44.0,18.62256695517565
PPO+CBF,45000.0,212.49834064196233,107.93766254420596
PPO+CBF,50000.0,298.3686529450794,219.28053981341353
PPO+CBF,55000.0,436.5864691720044,244.48454908850985
PPO+CBF,60000.0,371.4,318.56277246407814
PPO+CBF,65000.0,746.5776984126985,320.84802950472084
PPO+CBF,70000.0,950.3698,99.26039999999998
PPO+CBF,75000.0,932.932,134.13600000000002
PPO+CBF,80000.0,807.0,314.2864935055275
PPO+CBF,85000.0,904.8577213872832,115.57649830501539
