environment,timestep,episode_return,episode_length
Custom,48191,497.329986,500
Custom,48691,499.006483,500
Custom,49191,494.799004,500
Custom,49691,498.955534,500
Custom,50191,497.399887,500
Custom,50691,499.127352,500
Custom,51191,498.983146,500
Custom,51691,482.876603,500
Custom,52191,496.609284,500
Custom,52691,498.858709,500
Custom,53191,499.172386,500
Custom,53691,498.341376,500
Custom,54191,499.122962,500
Custom,54691,499.086213,500
Custom,55191,499.194711,500
Custom,55691,497.856111,500
Custom,56191,499.440683,500
Custom,56691,492.604476,500
Custom,57191,497.376106,500
Custom,57691,498.377282,500
Custom,58191,499.115512,500
Custom,58691,499.351059,500
Custom,59191,499.164957,500
Custom,59691,499.390349,500
Custom,60191,498.906191,500
Custom,60691,499.429814,500
Custom,61191,499.264644,500
Custom,61691,499.225476,500
Custom,62191,499.253191,500
Custom,62691,499.206149,500
Custom,63191,498.939713,500
Custom,63691,499.320014,500
Custom,64191,499.411543,500
Custom,64691,499.37406,500
Custom,65191,498.395394,500
Custom,65691,499.245505,500
Custom,66191,499.371688,500
Custom,66691,499.055701,500
Custom,67191,499.449009,500
Custom,67691,498.931072,500
Custom,68191,499.370546,500
Custom,68691,499.384862,500
Custom,69191,497.751588,500
Custom,69691,499.121283,500
Custom,70191,499.493432,500
Custom,70691,499.030605,500
Custom,71191,499.448069,500
Custom,71691,499.103831,500
Custom,72191,499.485455,500
Custom,72691,498.757608,500
Custom,73191,498.774376,500
Custom,73691,499.402625,500
Custom,74191,499.515706,500
Custom,74691,499.27361,500
Custom,75191,499.451808,500
Custom,75691,499.402987,500
Custom,76191,499.227443,500
Custom,76691,499.123712,500
Custom,77191,498.360535,500
Custom,77691,499.210388,500
Custom,78191,499.133538,500
Custom,78691,498.948971,500
Custom,79191,498.927586,500
Custom,79691,499.352339,500
Custom,80191,499.07111,500
Custom,80691,499.467415,500
Custom,81191,498.771867,500
Custom,81691,499.429322,500
Custom,82191,499.415169,500
Custom,82691,499.476862,500
Custom,83191,499.291396,500
Custom,83691,499.538157,500
Custom,84191,499.508763,500
Custom,84691,499.429094,500
Custom,85191,499.036148,500
Custom,85691,499.250962,500
Custom,86191,499.195598,500
Custom,86691,499.198359,500
Custom,87191,499.177201,500
Custom,87691,499.235641,500
Custom,88191,499.452966,500
Custom,88691,499.32064,500
Custom,89191,499.441664,500
Custom,89691,499.504293,500
Custom,90191,499.363401,500
Custom,90691,499.332179,500
Custom,91191,499.396766,500
Custom,91691,499.424855,500
Custom,92191,499.371829,500
Custom,92691,499.306871,500
Custom,93191,499.454755,500
Custom,93691,499.329986,500
Custom,94191,499.181182,500
Custom,94691,499.139645,500
Custom,95191,499.416063,500
Custom,95691,499.467835,500
Custom,96191,499.396127,500
Custom,96691,499.426265,500
Custom,97191,499.463706,500
Custom,97691,499.528595,500
Custom,98191,499.162434,500
Custom,98691,499.50318,500
Custom,99191,499.529876,500
Custom,99691,499.537566,500
